Velocity,LanePos,Steer,SpeedLimit,Accel,Brake,LongAccel,LatAccel,HeadwayTime,HeadwayDist
12.34377031,0.05590625,0.4134375,11.111,0.0922625,5.97E-17,0.058078125,0.016546875,1.56321875,19.231125
11.21074848,0.062878788,0.016969697,11.111,0.087454545,5.97E-17,0.050572727,0.003921212,1.208060606,13.4639697
9.526794444,-0.041305556,-2.620972222,11.111,0.023266667,4.17E-06,-0.315988889,-0.069001389,1.58925,14.01105556
6.715657407,0.101407407,-1.608333333,11.111,0.225175926,0,1.457327778,0.011874074,0,0
16.197374,0.25768,-0.003,11.111,0.239718,0,0.64287,0.018952,0,0
20.97962838,0.651027027,-0.537432432,11.111,0.242460811,0,0.380586486,-0.048563514,-0.004675676,-0.107864865
18.40231875,0.490458333,-0.6215625,11.111,0.243175,0.271889583,-1.44611875,-0.042147917,0.735979167,6.8395625
2.053255625,0.589475,-29.32175,11.111,0.04369125,0.473075625,0.245235625,-0.343545625,3.6776375,14.247575
13.05827411,0.646946429,0.493660714,11.111,0.140014286,0.020425,0.084209821,0.017372321,2.844357143,35.07471429
12.386805,0.547966667,-0.665333333,11.111,0.193221667,0,0.67316,-0.010538333,2.131666667,25.49183333
12.71667451,0.351313725,-2.775588235,17.90821569,0.15900098,0.029506863,0.024523529,-0.156152941,0.934411765,12.27854902
19.499625,0.030263158,-18.98421053,24.444,0.287994737,0.018010526,0.317647368,-1.649042105,1.235078947,23.47039474
15.98223901,0.179538462,-1.539175824,14.48087912,0.298214835,0.089003297,0.043967033,-0.204637363,1.73767033,28.0782967
6.320797368,0.121526316,4.406929825,11.111,0.167362281,0.277453509,-1.093457018,-0.026833333,3.798912281,4.088491228
0.762498052,0.433480519,7.207662338,11.111,0.0755,0.356303896,-4.55E-05,0.007172727,19.57481818,3.316844156
0.000202857,0.712,2.184642857,11.111,0.002295,0.706767857,0.002969286,7.14E-06,0.719514286,0.991528571
13.262425,0.514946429,-31.02660714,10.71417857,0.295336607,0.012778571,1.085077679,-0.882815179,2.237428571,32.50364286
11.520876,0.58544,0.2087,11.111,0.125166,0.077426,-0.651556,-0.002783,1.2555,15.43602
13.90504423,0.431461538,-0.028846154,11.111,0.225092308,0.007315385,0.636853846,0.011778846,1.167192308,16.51165385
11.352662,0.3058,0.1926,11.111,0.05189,0.055642,-0.898696,-0.006184,1.13568,11.44888
9.132773913,0.446826087,-0.130217391,11.111,0.10596087,0.045980435,-0.208086957,0.003808696,1.872869565,16.9026087
